N,Seed,Alpha,Converged,Rounds,q_hat,FinalResidual,ExpectedPayoff,WorstCaseQ5,SCShare,RuntimeSec
50,50,0,1,16,0.700104114544289,9.0451581194223e-05,0.755003745111884,0.647014265737272,0.243780137486167,0.0041832
50,50,0.1,1,16,0.700118934154255,8.787947429445e-05,0.756583906716248,0.647455546626904,0.250273450985308,0.0024688
50,50,0.2,1,17,0.703186640847712,7.27376003911984e-05,0.758151787344135,0.647931193140204,0.256790558807048,0.0024469
50,50,0.3,1,17,0.702810824087812,8.35890105881365e-05,0.759699283465066,0.648416469705297,0.263317110059602,0.0024366
50,50,0.4,1,17,0.702213671458231,9.36613567401878e-05,0.761228611684475,0.648926287844992,0.269850374581376,0.0024169
50,50,0.5,1,18,0.702593771866104,7.42317745637266e-05,0.762745429159175,0.65003627041659,0.276404974410555,0.0027644
50,50,0.6,1,18,0.702555058900234,8.48445761570393e-05,0.764237715932378,0.651604398709329,0.282943639695134,0.0040681
50,50,0.7,1,18,0.701089905084975,9.4708217069861e-05,0.765710326123506,0.6517184840611,0.289477394733934,0.0028918
50,50,0.8,1,19,0.699681863421827,7.26796307667366e-05,0.767168894523296,0.651223954878666,0.296023006505414,0.0029275
50,50,0.9,1,19,0.698312730021618,7.84692788514119e-05,0.76860159076816,0.650203997309703,0.30253891136184,0.0042005
50,50,1,1,19,0.696978915252995,8.38036052325519e-05,0.770013662674707,0.648766224176919,0.30904005559442,0.0028194
50,51,0,1,16,0.700074246561223,9.03763060421114e-05,0.754748283936043,0.647103355747696,0.243776643873474,0.0022847
50,51,0.1,1,16,0.701594585013171,9.06800355012782e-05,0.756286981136837,0.64771277744595,0.250270086567397,0.0023062
50,51,0.2,1,17,0.703244351871321,7.54087822851801e-05,0.757813852962554,0.648152746594594,0.256788269705308,0.0033905
50,51,0.3,1,17,0.702839407550982,8.62046888290557e-05,0.759320405000185,0.648644439018397,0.263314916684741,0.0040271
50,51,0.4,1,17,0.702226612719999,9.62237481553774e-05,0.760809102070818,0.649156198876171,0.269848275949087,0.0037239
50,51,0.5,1,18,0.701779339343525,7.4549385128464e-05,0.762285645550284,0.65014020593147,0.276403566620465,0.0028388
50,51,0.6,1,18,0.702612815479226,8.50982139253276e-05,0.763737942012632,0.651362558516566,0.282942300397857,0.0029331
50,51,0.7,1,18,0.70111220502493,9.48997410721575e-05,0.765170917498806,0.651509571622753,0.289476122765667,0.003317
50,51,0.8,1,19,0.699676451598834,7.27711211989668e-05,0.766590182396497,0.650926097860455,0.296022167107085,0.0040401
50,51,0.9,1,19,0.698284791893585,7.85173349303336e-05,0.767983970440899,0.64975948858888,0.302538119633206,0.0028431
50,51,1,1,19,0.696932212232192,8.38097730999632e-05,0.769357519836624,0.648214095672999,0.309039310478219,0.0039206
50,52,0,1,16,0.700147050085119,8.88263306009218e-05,0.7554618449199,0.646686233255267,0.243778463024468,0.0023938
50,52,0.1,1,16,0.702721081341526,9.11033776906656e-05,0.75704064847642,0.647117436097579,0.250271788093897,0.0023425
50,52,0.2,1,17,0.703053305343616,7.5733644670839e-05,0.758607582605503,0.647586265877184,0.256789406937396,0.0035494
50,52,0.3,1,17,0.702704698621065,8.65793087827527e-05,0.760154697146977,0.648078804279197,0.263315966300066,0.0028095
50,52,0.4,1,17,0.70213532589345,9.66461909958638e-05,0.761684109316702,0.648592474303065,0.269849238640776,0.003992
50,52,0.5,1,18,0.70142754354114,7.43407822210718e-05,0.763201399621394,0.649988211560954,0.27640418844285,0.0028904
50,52,0.6,1,18,0.70062672031631,8.03153453201033e-05,0.764694653544443,0.651644299624968,0.282942859035854,0.0026509
50,52,0.7,1,18,0.701131486256989,9.00444345944273e-05,0.766168648576178,0.651685869750204,0.289476619139568,0.0027746
50,52,0.8,1,18,0.699644659263101,9.9192085659866e-05,0.767623012075404,0.651036311678677,0.296002055475298,0.0030628
50,52,0.9,1,19,0.698222385186827,7.51922119826831e-05,0.769063830704179,0.650109631215708,0.302538378376733,0.0030091
50,52,1,1,19,0.6968414761588,8.05212745947359e-05,0.770478445946236,0.648719379407527,0.309039525753356,0.0032313
50,53,0,1,16,0.700135791814533,8.71172691135347e-05,0.753144625994646,0.644592040100814,0.24377690672435,0.002326
50,53,0.1,1,16,0.703126328273659,9.01976593214449e-05,0.754733182163528,0.645023379410503,0.250270272620451,0.0024063
50,53,0.2,1,17,0.703125127245597,7.50873417375286e-05,0.756309611369966,0.645454142238427,0.256788367969704,0.0024937
50,53,0.3,1,17,0.702753669733334,8.59152143865005e-05,0.757865819361229,0.645899721350534,0.263314957573299,0.0025674
50,53,0.4,1,17,0.702165497161187,9.59650221696029e-05,0.759403981386488,0.647278344415348,0.269848259862096,0.0026458
50,53,0.5,1,18,0.701442040036516,7.38530364165768e-05,0.760929739221946,0.64957740623212,0.276403523307818,0.002719
50,53,0.6,1,18,0.701641109442798,8.18008094550793e-05,0.762431046518829,0.651424470044322,0.28294221555788,0.0039482
50,53,0.7,1,18,0.701100034439784,9.16376051631196e-05,0.763912740020971,0.651582538587243,0.289475996969951,0.0033068
50,53,0.8,1,19,0.699636326958631,7.05085310783449e-05,0.765380447748906,0.650864058063395,0.296022051214129,0.0028098
50,53,0.9,1,19,0.698223036528111,7.62795031031549e-05,0.766822302937977,0.649769807191796,0.302537974502539,0.0027365
50,53,1,1,19,0.696853173670847,8.15958421508667e-05,0.768243546655805,0.648411874664611,0.309039136664306,0.0040202
50,54,0,1,16,0.700099585161312,8.65716883368117e-05,0.754875728050497,0.647594666386892,0.24377729011579,0.0025242
50,54,0.1,1,16,0.70319246784963,9.09371455339036e-05,0.756443409079279,0.648019991093656,0.250270691100636,0.0023706
50,54,0.2,1,17,0.703171089020402,7.55985269640658e-05,0.757999209325446,0.64845674242124,0.256788673554885,0.0024681
50,54,0.3,1,17,0.70278716684855,8.64119358214843e-05,0.759534585245144,0.64895387204003,0.263315289497053,0.0023874
50,54,0.4,1,17,0.702190721799701,9.64478150136672e-05,0.761052001069832,0.64944448624051,0.26984861798841,0.0025091
50,54,0.5,1,18,0.701461447454878,7.41843293606825e-05,0.762557236013196,0.650293620664526,0.276403787460157,0.0028696
50,54,0.6,1,18,0.70176073537422,8.23384518303938e-05,0.764038042705341,0.651722110061204,0.282942498894771,0.0026864
50,54,0.7,1,18,0.701129667961089,9.21580035296299e-05,0.765499407810895,0.651807467040616,0.289476299260243,0.002684
50,54,0.8,1,19,0.699661803900198,7.08634714229328e-05,0.766947027786211,0.651241860141454,0.296022274862839,0.0049835
50,54,0.9,1,19,0.698245076160942,7.662225487165e-05,0.768368961836631,0.650205091657661,0.302538211742031,0.0037678
50,54,1,1,19,0.696872286275831,8.19267915807553e-05,0.769770525044345,0.648737766455605,0.309039387259332,0.0038584
50,55,0,1,16,0.700089066196992,9.05203756235984e-05,0.755477466033594,0.646848964083827,0.243779708981629,0.0027716
50,55,0.1,1,16,0.702184874898622,9.19528406676251e-05,0.757043696201925,0.647309098008908,0.250273042795016,0.0024673
50,55,0.2,1,17,0.703054688314888,7.63293589879643e-05,0.758597381878123,0.647730417596361,0.256790282835404,0.0024597
