Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
Proposed IT2-W-FBRI,Proposed,alpha,0.85,15,42,0.817904651066525,0.794698066926992,0.0613635848859518,1,42,0.0112755
Proposed IT2-W-FBRI,Proposed,alpha,0.85,20,42,0.816730182583404,0.808698689579018,0.0193908043535717,1,42,0.0070692
Proposed IT2-W-FBRI,Proposed,alpha,0.85,40,42,0.816249869270042,0.808316337429399,0.00284578664235166,1,43,0.0071461
Proposed IT2-W-FBRI,Proposed,alpha,0.9,0,42,0.825559464858401,0.383061822175042,0.988625360264009,1,43,0.0057236
Proposed IT2-W-FBRI,Proposed,alpha,0.9,5,42,0.826718665992567,0.459791039427172,0.837588494718528,1,42,0.0068619
Proposed IT2-W-FBRI,Proposed,alpha,0.9,10,42,0.826704495405817,0.569324425110493,0.608811487930875,1,42,0.0067455
Proposed IT2-W-FBRI,Proposed,alpha,0.9,15,42,0.825336400409119,0.644327553584641,0.441426922249947,1,42,0.0068451
Proposed IT2-W-FBRI,Proposed,alpha,0.9,20,42,0.823876667636219,0.688454587881466,0.335716956769465,1,42,0.0070354
Proposed IT2-W-FBRI,Proposed,alpha,0.9,40,42,0.821207859405826,0.745026688646954,0.194693404181358,1,42,0.0117288
Proposed IT2-W-FBRI,Proposed,alpha,1,0,42,0.825487418043055,0.379429516202862,0.995244075895371,1,43,0.0058018
Proposed IT2-W-FBRI,Proposed,alpha,1,5,42,0.825487418043055,0.379429516202862,0.995244075895371,1,43,0.0102626
Proposed IT2-W-FBRI,Proposed,alpha,1,10,42,0.825487418043055,0.379429516202862,0.995244075895371,1,43,0.0074122
Proposed IT2-W-FBRI,Proposed,alpha,1,15,42,0.825487418043055,0.379429516202862,0.995244075895371,1,43,0.0077595
Proposed IT2-W-FBRI,Proposed,alpha,1,20,42,0.825487418043055,0.379429516202862,0.995244075895371,1,43,0.0071882
Proposed IT2-W-FBRI,Proposed,alpha,1,40,42,0.825487418043055,0.379429516202862,0.995244075895371,1,43,0.0073908
Isobe-APP,Convergence SOTA,none,NaN,NaN,42,0.825442834588501,0.376853067344815,0.999952604051967,1,42,0.0041653
RQE,Robust SOTA,rqe_tau,0.5,NaN,42,0.788835918640423,0.623901371420338,0.387079009704162,1,23,0.2354556
RQE,Robust SOTA,rqe_tau,1,NaN,42,0.788858440382311,0.62382645060958,0.387301729845702,1,23,0.2270732
RQE,Robust SOTA,rqe_tau,2,NaN,42,0.788903851839452,0.623674946080243,0.387751753161038,1,23,0.2336475
RQE,Robust SOTA,rqe_tau,5,NaN,42,0.789042689321502,0.623208079331812,0.389135510165119,1,23,0.2519596
RQE,Robust SOTA,rqe_tau,10,NaN,42,0.789280181333119,0.622396330604513,0.39153077557716,1,23,0.2351402
RQE,Robust SOTA,rqe_tau,20,NaN,42,0.789757026692299,0.62071665002975,0.396447004690457,1,24,0.2758685
RQE,Robust SOTA,rqe_tau,50,NaN,42,0.790810637454917,0.616662497380019,0.408046575209918,1,24,0.307161
MF-RQE,Robust SOTA,mfrqe_tau,0.5,NaN,42,0.778517098519607,0.648543947677132,0.305679700496965,1,22,0.2337345
MF-RQE,Robust SOTA,mfrqe_tau,1,NaN,42,0.777806106186017,0.649557321174963,0.30159767495099,1,22,0.2431414
MF-RQE,Robust SOTA,mfrqe_tau,2,NaN,42,0.776407455972638,0.651500655971075,0.293680068763852,1,22,0.2796997
MF-RQE,Robust SOTA,mfrqe_tau,5,NaN,42,0.772756464256917,0.656262321334146,0.273686363205582,1,21,0.2242805
MF-RQE,Robust SOTA,mfrqe_tau,10,NaN,42,0.76921626886633,0.660492447594889,0.255170663561366,1,20,0.2115451
MF-RQE,Robust SOTA,mfrqe_tau,20,NaN,42,0.767302187799407,0.662636077660613,0.245498098235752,1,19,0.2321608
MF-RQE,Robust SOTA,mfrqe_tau,50,NaN,42,0.766979250380709,0.662988626813362,0.243887842033785,1,19,0.2096925
CVaR-game,Robust SOTA,cvar_alpha,0.05,NaN,42,0.740891201721192,0.730963178515555,1.14996634136185e-05,1,28,0.089788
CVaR-game,Robust SOTA,cvar_alpha,0.1,NaN,42,0.740891201721192,0.730963178515555,1.14996634136185e-05,1,28,0.0934181
CVaR-game,Robust SOTA,cvar_alpha,0.2,NaN,42,0.740891201721192,0.730963178515555,1.14996634136185e-05,1,28,0.0905852
