N,Baseline,Metric,ProposedMinusBaselineMean,CI95Low,CI95High,CIExcludesZero,PairedTPValue,EffectSizeDz,NumPairs,HolmAdjustedP,HolmReject
20,DRNE-VI,WorstCaseQ5,-0.0564511549703199,-0.061636398247731,-0.0512659116929088,1,2.93698766035988e-15,-5.09521971712468,20,8.81096298107964e-15,1
20,DRNE-VI,RuntimeSec,-0.004051345,-0.00629781488673094,-0.00180487511326906,1,0.00128192224326138,-0.844029931839635,20,0.00256384448652275,1
50,Isobe-APP,CommonAlphaExploitability,0.0571218359487557,0.0571217697310974,0.0571219021664139,1,3.38502650190808e-108,403726.783171722,20,1.35401060076323e-107,1
50,Isobe-APP,AvgPayoff,-0.0730631176038125,-0.0730631541654793,-0.0730630810421457,1,3.95848016392767e-115,-935258.007190427,20,1.68560587850359e-114,1
50,Isobe-APP,WorstCaseQ5,-0.054713378618529,-0.0607238154123481,-0.04870294182471,1,7.67818347288454e-14,-4.2603641458658,20,1.53563669457691e-13,1
50,Isobe-APP,RuntimeSec,-0.002518295,-0.0031409088041577,-0.00189568119584231,1,7.16036528353333e-08,-1.89298459453485,20,7.16036528353333e-08,1
50,RQE,CommonAlphaExploitability,-0.0306400605485822,-0.0306401253231116,-0.0306399957740527,1,3.07240758799063e-103,-221383.155929124,20,6.14481517598126e-103,1
50,RQE,AvgPayoff,0.0536945902583879,0.0536945540077183,0.0536946265090575,1,1.17118373149407e-112,693224.209997473,20,2.34236746298813e-112,1
50,RQE,WorstCaseQ5,0.0524654306056185,0.0510723184653814,0.0538585427458557,1,2.27220203507554e-25,17.6257005112843,20,1.13610101753777e-24,1
50,RQE,RuntimeSec,-0.32443539,-0.332151371919078,-0.316719408080922,1,2.81623894071215e-26,-19.6786926232988,20,1.40811947035607e-25,1
50,MF-RQE,CommonAlphaExploitability,-0.00717601047768405,-0.00717607525221348,-0.00717594570315461,1,2.91879351945297e-91,-51848.7175967302,20,2.91879351945297e-91,1
50,MF-RQE,AvgPayoff,0.0112012659423281,0.0112012296916585,0.0112013021929977,1,1.00283640334762e-99,144613.986185117,20,1.00283640334762e-99,1
50,MF-RQE,WorstCaseQ5,0.0106047004667311,0.009898248633449,0.0113111523000132,1,7.64689976939533e-18,7.02546495086556,20,3.05875990775813e-17,1
50,MF-RQE,RuntimeSec,-0.349105615,-0.359571958232755,-0.338639271767245,1,2.26431525269394e-24,-15.6106534582934,20,9.05726101077576e-24,1
50,CVaR-game,CommonAlphaExploitability,0.0571167782789989,0.0571167135044695,0.0571168430535284,1,2.23085448111258e-108,412684.975340034,20,1.11542724055629e-107,1
50,CVaR-game,AvgPayoff,-0.0730565065320671,-0.0730565427827367,-0.0730564702813975,1,3.37121175700718e-115,-943196.303056917,20,1.68560587850359e-114,1
50,CVaR-game,WorstCaseQ5,-0.0547031880575328,-0.0607142727338859,-0.0486921033811796,1,7.71915817795992e-14,-4.25911153584942,20,1.53563669457691e-13,1
50,CVaR-game,RuntimeSec,-0.094460815,-0.0984184335999323,-0.0905031964000677,1,1.26462324693728e-21,-11.1706121107586,20,3.79386974081184e-21,1
50,DRNE-VI,CommonAlphaExploitability,0.0528764584813283,0.0528763937067989,0.0528765232558578,1,9.66043673967321e-108,382047.458241508,20,2.89813102190196e-107,1
50,DRNE-VI,AvgPayoff,-0.0692622138597069,-0.0692622501103765,-0.0692621776090373,1,9.28697209329415e-115,-894210.073203246,20,2.78609162798824e-114,1
50,DRNE-VI,WorstCaseQ5,-0.0564511164647539,-0.0616363400241904,-0.0512658929053174,1,2.93681938181657e-15,-5.09523561735586,20,8.8104581454497e-15,1
50,DRNE-VI,RuntimeSec,-0.002570785,-0.00317709853658585,-0.00196447146341415,1,3.47294406902511e-08,-1.98439312864966,20,6.94588813805022e-08,1
100,Isobe-APP,CommonAlphaExploitability,0.0571218868255742,0.057121829750788,0.0571219439003603,1,2.01137824734969e-109,468400.632875057,20,9.40733549828584e-109,1
100,Isobe-APP,AvgPayoff,-0.0730631326179639,-0.0730631471967006,-0.0730631180392272,1,1.02496967441711e-122,-2345511.77220055,20,4.09987869766844e-122,1
100,Isobe-APP,WorstCaseQ5,-0.0547133912721971,-0.0607238330005453,-0.0487029495438489,1,7.67826542905841e-14,-4.26036163343945,20,1.53565308581168e-13,1
100,Isobe-APP,RuntimeSec,-0.006311455,-0.00732863430594728,-0.00529427569405271,1,6.74301925002372e-11,-2.90396378317995,20,1.34860385000474e-10,1
100,RQE,CommonAlphaExploitability,-0.0306399956309685,-0.030640052500517,-0.0306399387614199,1,2.59137984545988e-104,-252155.322770337,20,5.18275969091976e-104,1
100,RQE,AvgPayoff,0.053694577557861,0.0536945636185722,0.0536945914971499,1,1.52122728283586e-120,1802806.16010166,20,3.04245456567172e-120,1
100,RQE,WorstCaseQ5,0.0524654170073747,0.0510722894731614,0.0538585445415879,1,2.27268890798042e-25,17.6255011800818,20,1.13634445399021e-24,1
100,RQE,RuntimeSec,-0.311782715,-0.319134907368124,-0.304430522631876,1,2.39644234934858e-26,-19.8469782870978,20,1.19822117467429e-25,1
100,MF-RQE,CommonAlphaExploitability,-0.00717594556007046,-0.007176002429619,-0.00717588869052192,1,2.46214024340341e-92,-59055.2587107122,20,2.46214024340341e-92,1
100,MF-RQE,AvgPayoff,0.0112012532418014,0.0112012393025125,0.0112012671810902,1,1.30258649062227e-107,376084.313605365,20,1.30258649062227e-107,1
100,MF-RQE,WorstCaseQ5,0.0106046868684874,0.00989823239223837,0.0113111413447365,1,7.6476165399327e-18,7.0254296587888,20,3.05904661597308e-17,1
100,MF-RQE,RuntimeSec,-0.335846845,-0.345763996643994,-0.325929693356006,1,1.69877753309145e-24,-15.849426070425,20,5.62793531867838e-24,1
100,CVaR-game,CommonAlphaExploitability,0.0571168431966125,0.057116786327064,0.0571169000661611,1,1.88146709965717e-109,470049.545872253,20,9.40733549828584e-109,1
100,CVaR-game,AvgPayoff,-0.0730565192325934,-0.0730565331718823,-0.0730565052933045,1,4.37876583860247e-123,-2452887.21689221,20,2.18938291930124e-122,1
100,CVaR-game,WorstCaseQ5,-0.0547032016557763,-0.0607142917941122,-0.0486921115174405,1,7.71925039771723e-14,-4.25910872454249,20,1.53565308581168e-13,1
100,CVaR-game,RuntimeSec,-0.084850405,-0.0873311177772449,-0.0823696922227551,1,1.4069838296696e-24,-16.0079845981478,20,5.62793531867838e-24,1
100,DRNE-VI,CommonAlphaExploitability,0.0528765233989419,0.0528764665293934,0.0528765802684905,1,8.14744420660946e-109,435153.352670764,20,2.44423326198284e-108,1
100,DRNE-VI,AvgPayoff,-0.0692622265602332,-0.0692622404995221,-0.0692622126209444,1,1.20625673256504e-122,-2325493.08299501,20,4.09987869766844e-122,1
100,DRNE-VI,WorstCaseQ5,-0.0564511300629977,-0.0616363564462697,-0.0512659036797258,1,2.93683575876852e-15,-5.09523406989536,20,8.81050727630557e-15,1
100,DRNE-VI,RuntimeSec,-0.00043957,-0.00107372999373058,0.000194589993730583,0,0.163149485198932,-0.324405662078716,20,0.163149485198932,0
