N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,AvgPayoff,WorstCaseQ5,RuntimeSec,Certificate
20,50,Proposed IT2-W-FBRI,Proposed,1,22,0.683136734176338,8.7073839265055e-05,max strategy-step L1,0.0571248838569045,0.892559371557168,0.856698953535356,0.0037926,base Gamma_alpha certificate; focused point empirical
20,50,Isobe-APP,Convergence SOTA,1,69,0.849484286583114,6.8980400890021e-05,outer-anchor L1,3.27428451707412e-06,0.965622506402987,0.92017035030425,0.0059944,none
20,50,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.807584547103906,0.3824817,none
20,50,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.845590945848815,0.3798682,none
20,50,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.920162855262307,0.1016442,none
20,50,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.917735238957721,0.00619,none
20,51,Proposed IT2-W-FBRI,Proposed,1,22,0.68315587401463,8.69932435165234e-05,max strategy-step L1,0.0571248603755254,0.892559490314048,0.869710340390638,0.0024154,base Gamma_alpha certificate; focused point empirical
20,51,Isobe-APP,Convergence SOTA,1,69,0.849580956255652,6.94078200382909e-05,outer-anchor L1,3.29457497416641e-06,0.965622488660739,0.906920537871236,0.0048289,none
20,51,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.817990318771837,0.3376986,none
20,51,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.859473129889905,0.3545039,none
20,51,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.906909798903914,0.1004375,none
20,51,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.908764868366024,0.0063813,none
20,52,Proposed IT2-W-FBRI,Proposed,1,22,0.683376422210133,8.76994111652235e-05,max strategy-step L1,0.0571252576699179,0.892559355456452,0.866648396507408,0.0036831,base Gamma_alpha certificate; focused point empirical
20,52,Isobe-APP,Convergence SOTA,1,69,0.849438418342881,6.89245124295553e-05,outer-anchor L1,3.27163131108588e-06,0.96562251888841,0.92302033626857,0.0054303,none
20,52,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.818128619077353,0.3314083,none
20,52,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.85556741729969,0.3601121,none
20,52,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.923011468173236,0.0946269,none
20,52,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.919806512949007,0.0060753,none
20,53,Proposed IT2-W-FBRI,Proposed,1,22,0.68313203616364,8.72105853012839e-05,max strategy-step L1,0.0571249891457121,0.892559311005875,0.865613315096117,0.0039007,base Gamma_alpha certificate; focused point empirical
20,53,Isobe-APP,Convergence SOTA,1,69,0.849448303053591,6.87778809297916e-05,outer-anchor L1,3.26467059319491e-06,0.965622499828143,0.909452320910217,0.0063275,none
20,53,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.816978452862669,0.3239305,none
20,53,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.855408361237426,0.3477675,none
20,53,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.909442458495031,0.0954314,none
20,53,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.912858572292937,0.0060631,none
20,54,Proposed IT2-W-FBRI,Proposed,1,22,0.683024117374067,8.707396478011e-05,max strategy-step L1,0.0571249884280572,0.892559308949944,0.861615769845822,0.0027914,base Gamma_alpha certificate; focused point empirical
20,54,Isobe-APP,Convergence SOTA,1,69,0.849427779552897,6.87404829683094e-05,outer-anchor L1,3.26289512653233e-06,0.965622517884867,0.923689297460295,0.007379,none
20,54,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.807824424449682,0.317662,none
20,54,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.850217823057844,0.3367113,none
20,54,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.923676482923758,0.0982515,none
20,54,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.927842926992248,0.0061244,none
20,55,Proposed IT2-W-FBRI,Proposed,1,22,0.683038619667495,8.70606846490266e-05,max strategy-step L1,0.0571250914751108,0.892559424246371,0.870170205996111,0.0025524,base Gamma_alpha certificate; focused point empirical
20,55,Isobe-APP,Convergence SOTA,1,69,0.849533860034228,6.93321743080802e-05,outer-anchor L1,3.29098380480453e-06,0.965622508001624,0.931270528387187,0.0048725,none
20,55,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.817886442276421,0.3065702,none
20,55,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.858731149741685,0.3320128,none
20,55,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.93126129262348,0.0959431,none
20,55,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.933240886044456,0.0058819,none
20,56,Proposed IT2-W-FBRI,Proposed,1,22,0.682945751349575,8.67322193894293e-05,max strategy-step L1,0.0571250585218068,0.892559473712583,0.8731984722052,0.0023308,base Gamma_alpha certificate; focused point empirical
20,56,Isobe-APP,Convergence SOTA,1,69,0.849583302536462,6.96219534651794e-05,outer-anchor L1,3.30474016607685e-06,0.965622504277261,0.91618028844141,0.0052693,none
20,56,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.817682459053854,0.3894189,none
20,56,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.861992032546726,0.3810318,none
20,56,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.916170346868994,0.0893932,none
20,56,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.920196203199185,0.0060407,none
20,57,Proposed IT2-W-FBRI,Proposed,1,22,0.68298455270487,8.69814301275012e-05,max strategy-step L1,0.0571250885824509,0.892559185059516,0.864461126097963,0.0025381,base Gamma_alpha certificate; focused point empirical
20,57,Isobe-APP,Convergence SOTA,1,69,0.849520982287274,6.9278414585437e-05,outer-anchor L1,3.288431676296e-06,0.965622516710696,0.927290640324457,0.0048942,none
20,57,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.813204789681068,0.3314814,none
20,57,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.855509731296907,0.3371127,none
20,57,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.927278191187021,0.0981853,none
20,57,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.927444403779227,0.0082647,none
20,58,Proposed IT2-W-FBRI,Proposed,1,22,0.683187823117643,8.73643455493699e-05,max strategy-step L1,0.0571249829101999,0.892559241281186,0.868828500365341,0.0027598,base Gamma_alpha certificate; focused point empirical
20,58,Isobe-APP,Convergence SOTA,1,69,0.849389254042537,6.85417865770562e-05,outer-anchor L1,3.25346268037485e-06,0.965622517248585,0.937812156128095,0.0044736,none
20,58,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.816474668311834,0.3415117,none
20,58,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873564,0.881358123813592,0.858134386810313,0.3596506,none
20,58,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.937802069013881,0.0964306,none
20,58,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.936470756878221,0.0060312,none
20,59,Proposed IT2-W-FBRI,Proposed,1,22,0.682970468990299,8.69604978233629e-05,max strategy-step L1,0.057125021780706,0.892559266616036,0.866293586423287,0.0023779,base Gamma_alpha certificate; focused point empirical
20,59,Isobe-APP,Convergence SOTA,1,69,0.849535641263464,6.93229810575457e-05,outer-anchor L1,3.29054747882918e-06,0.965622494228654,0.924481769104278,0.0047079,none
20,59,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.809218552043466,0.33367,none
