Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
Proposed IT2-W-FBRI,Proposed,alpha,0.3,0,55,0.824903060358622,0.580570239966538,0.576249883905813,1,48,0.0060814
Proposed IT2-W-FBRI,Proposed,alpha,0.3,5,55,0.703073356269679,0.0933335355930125,2.28980610867497e-05,1,44,0.0078413
Proposed IT2-W-FBRI,Proposed,alpha,0.3,10,55,0.703200605947954,0.0944277883366378,2.02287715106385e-05,1,45,0.0079702
Proposed IT2-W-FBRI,Proposed,alpha,0.3,15,55,0.736608180440987,0.374265107603569,3.93221691915765e-05,1,43,0.007209
Proposed IT2-W-FBRI,Proposed,alpha,0.3,20,55,0.779706258341384,0.720284004275896,3.83585557746039e-05,1,43,0.0072052
Proposed IT2-W-FBRI,Proposed,alpha,0.3,40,55,0.790799221713919,0.804151893888958,1.82443491619517e-05,1,46,0.0077567
Proposed IT2-W-FBRI,Proposed,alpha,0.4,0,55,0.836782811251969,0.521496401953554,0.719867341258494,1,42,0.0060341
Proposed IT2-W-FBRI,Proposed,alpha,0.4,5,55,0.703075691300672,0.0933503711846229,2.5232612183333e-05,1,44,0.0077646
Proposed IT2-W-FBRI,Proposed,alpha,0.4,10,55,0.704898660397298,0.108976388513826,3.2446100608647e-05,1,44,0.0071974
Proposed IT2-W-FBRI,Proposed,alpha,0.4,15,55,0.754526235476369,0.513382474416858,4.44513589274707e-05,1,43,0.0088983
Proposed IT2-W-FBRI,Proposed,alpha,0.4,20,55,0.786176556645601,0.772507936422298,4.35127151328371e-05,1,43,0.0068563
Proposed IT2-W-FBRI,Proposed,alpha,0.4,40,55,0.790800488091828,0.804152875132335,2.07878044301814e-05,1,45,0.0074093
Proposed IT2-W-FBRI,Proposed,alpha,0.5,0,55,0.841948767966014,0.476397983344627,0.817368393240527,1,42,0.00599
Proposed IT2-W-FBRI,Proposed,alpha,0.5,5,55,0.703163671001633,0.0941039982650059,2.76952504937247e-05,1,43,0.0068286
Proposed IT2-W-FBRI,Proposed,alpha,0.5,10,55,0.718172888087628,0.220161004681293,5.18332190794381e-05,1,42,0.0070092
Proposed IT2-W-FBRI,Proposed,alpha,0.5,15,55,0.772429261446668,0.661020943108409,5.00578738258538e-05,1,42,0.0086392
Proposed IT2-W-FBRI,Proposed,alpha,0.5,20,55,0.789474399599181,0.79860583814975,3.44189896416125e-05,1,44,0.0096082
Proposed IT2-W-FBRI,Proposed,alpha,0.5,40,55,0.790801582027013,0.804153750631666,2.35921314831673e-05,1,45,0.0099326
Proposed IT2-W-FBRI,Proposed,alpha,0.6,0,55,0.845211814941278,0.44042269916928,0.891987787253695,1,42,0.005614
Proposed IT2-W-FBRI,Proposed,alpha,0.6,5,55,0.707162690138183,0.127962739595194,4.32571166112089e-05,1,42,0.0068596
Proposed IT2-W-FBRI,Proposed,alpha,0.6,10,55,0.750510561820418,0.48984967697643,4.03916497144864e-05,1,43,0.0095155
Proposed IT2-W-FBRI,Proposed,alpha,0.6,15,55,0.785632013144293,0.76812539949063,5.612283880339e-05,1,42,0.0074629
Proposed IT2-W-FBRI,Proposed,alpha,0.6,20,55,0.790501111127041,0.803948761805623,2.71140047362255e-05,1,44,0.008414
Proposed IT2-W-FBRI,Proposed,alpha,0.6,40,55,0.790802553281285,0.804154554614224,2.6665986901403e-05,1,44,0.0089421
Proposed IT2-W-FBRI,Proposed,alpha,0.7,0,55,0.847261643272719,0.414485821319372,0.943559731760408,1,42,0.0056715
Proposed IT2-W-FBRI,Proposed,alpha,0.7,5,55,0.754880391351435,0.515578558158559,0.00132275664694235,1,42,0.0107884
Proposed IT2-W-FBRI,Proposed,alpha,0.7,10,55,0.781814883295803,0.737321184886969,5.76655116968455e-05,1,42,0.0107067
Proposed IT2-W-FBRI,Proposed,alpha,0.7,15,55,0.790128929467155,0.80261306974859,3.11275288311246e-05,1,43,0.0072275
Proposed IT2-W-FBRI,Proposed,alpha,0.7,20,55,0.790740175906748,0.804112126923087,3.04028254082785e-05,1,44,0.0074104
Proposed IT2-W-FBRI,Proposed,alpha,0.7,40,55,0.79080343895893,0.804155312195098,3.00009687940504e-05,1,44,0.0086524
Proposed IT2-W-FBRI,Proposed,alpha,0.8,0,55,0.848395995711665,0.399115897262957,0.97368308970023,1,42,0.0072686
Proposed IT2-W-FBRI,Proposed,alpha,0.8,5,55,0.814658905718911,0.684798176347621,0.334583758202852,1,42,0.0070209
Proposed IT2-W-FBRI,Proposed,alpha,0.8,10,55,0.792130367431194,0.800938610217826,0.0220698747160731,1,42,0.0069455
Proposed IT2-W-FBRI,Proposed,alpha,0.8,15,55,0.790858317329848,0.804247528960508,0.00149244423875406,1,43,0.0080921
Proposed IT2-W-FBRI,Proposed,alpha,0.8,20,55,0.790811240539237,0.804169743525348,0.000272730851265627,1,43,0.0096965
Proposed IT2-W-FBRI,Proposed,alpha,0.8,40,55,0.790805609787458,0.804157573356725,5.00200317714943e-05,1,43,0.008438
Proposed IT2-W-FBRI,Proposed,alpha,0.85,0,55,0.848722847548214,0.394544854024477,0.982582533707058,1,43,0.0057633
Proposed IT2-W-FBRI,Proposed,alpha,0.85,5,55,0.831596519011878,0.574346013583477,0.604053136820123,1,42,0.0067001
Proposed IT2-W-FBRI,Proposed,alpha,0.85,10,55,0.807668344845125,0.729700982895451,0.221140616993893,1,42,0.0101402
Proposed IT2-W-FBRI,Proposed,alpha,0.85,15,55,0.795710720419354,0.787782566222611,0.0613635850679083,1,42,0.0091139
Proposed IT2-W-FBRI,Proposed,alpha,0.85,20,55,0.792370930847923,0.802244000790439,0.0193908045790401,1,42,0.0091816
Proposed IT2-W-FBRI,Proposed,alpha,0.85,40,55,0.791034324600565,0.8044184017467,0.0028457868250209,1,43,0.0071689
Proposed IT2-W-FBRI,Proposed,alpha,0.9,0,55,0.848942701096645,0.391440553201608,0.988625360370473,1,43,0.0064211
Proposed IT2-W-FBRI,Proposed,alpha,0.9,5,55,0.842953425102029,0.466761447246381,0.837588494745666,1,42,0.0067338
Proposed IT2-W-FBRI,Proposed,alpha,0.9,10,55,0.831917279881607,0.572322558670465,0.608811487990884,1,42,0.0080573
Proposed IT2-W-FBRI,Proposed,alpha,0.9,15,55,0.822329265409716,0.641214408065933,0.441426922318006,1,42,0.0098751
Proposed IT2-W-FBRI,Proposed,alpha,0.9,20,55,0.815607460936828,0.685274481466837,0.33571695683375,1,42,0.0087065
Proposed IT2-W-FBRI,Proposed,alpha,0.9,40,55,0.805830358000024,0.739735709540677,0.194693404208929,1,42,0.0087519
Proposed IT2-W-FBRI,Proposed,alpha,1,0,55,0.849181645280215,0.388083715329196,0.995244076033333,1,43,0.0063295
