N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
50,49,Proposed IT2-W-FBRI,Proposed,1,45,0.856339567277583,7.73353627549315e-05,max strategy-step L1,0.0101278438651264,0.815732477104989,0.807823008511121,0.811382269378362,0.00790946859386799,2.35921384641682e-05,0.008134,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,49,Isobe-APP,Convergence SOTA,1,42,0.778296788758546,9.74495124171826e-05,outer-anchor L1,7.19863875175974e-08,0.841763799688208,0.378094123967127,0.586745478041613,0.463669675721081,0.999952739540629,0.0054942,1,0,none
50,49,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.79493246777737,0.623257038238251,0.700510981530854,0.171675429539119,0.389135510165119,0.2547928,1,0.2,none
50,49,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.776820748224801,0.656303596406311,0.710536314724632,0.12051715181849,0.273686363205582,0.2110215,1,0.2,none
50,49,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740491348487897,0.730600916580425,0.735051610938787,0.00989043190747241,1.14996634136185e-05,0.0989219,1,0.2,none
50,49,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.797846551246668,0.673503765916247,0.729458019314936,0.124342785330421,0.288843548536262,0.006277,1,0.2,none
50,50,Proposed IT2-W-FBRI,Proposed,1,45,0.85664391248941,7.73352535168084e-05,max strategy-step L1,0.010127843860099,0.815740782061741,0.807446564359412,0.81117896232546,0.00829421770232874,2.35921449506978e-05,0.0080404,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,50,Isobe-APP,Convergence SOTA,1,42,0.778479506587461,9.8248325618175e-05,outer-anchor L1,7.25761324371632e-08,0.849086064962539,0.383441670643434,0.592981648087031,0.465644394319106,0.999952752349561,0.0043741,1,0,none
50,50,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.797623336005174,0.62447695486408,0.702392826377572,0.173146381141094,0.389135510165119,0.2308539,1,0.2,none
50,50,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.778728431554886,0.657244404170258,0.711912216493341,0.121484027384627,0.273686363205582,0.2313258,1,0.2,none
50,50,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740684125195255,0.731050123832625,0.735385424445809,0.00963400136262993,1.14996634136185e-05,0.0932223,1,0.2,none
50,50,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.799865359653318,0.67451259122486,0.730921337017666,0.125352768428458,0.288843548536262,0.0066879,1,0.2,none
50,51,Proposed IT2-W-FBRI,Proposed,1,45,0.856640480917516,7.73352172010752e-05,max strategy-step L1,0.0101278438625122,0.815891460194766,0.807592397880579,0.811326975921963,0.00829906231418642,2.35920337816077e-05,0.0078938,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,51,Isobe-APP,Convergence SOTA,1,42,0.778353791548097,9.7589840470178e-05,outer-anchor L1,7.2090238556477e-08,0.841703223228692,0.379395786303537,0.587434132919857,0.462307436925154,0.999952769308014,0.0039868,1,0,none
50,51,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.794862187474534,0.623726810997416,0.700737730412119,0.171135376477118,0.389135510165119,0.2351219,1,0.2,none
50,51,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.776788685767413,0.65662077192361,0.710696333153321,0.120167913843803,0.273686363205582,0.2107436,1,0.2,none
50,51,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.74067620254221,0.730626273648955,0.73514874165092,0.010049928893255,1.14996634136185e-05,0.0950269,1,0.2,none
50,51,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.797790229234656,0.674092401593782,0.729756424032175,0.123697827640874,0.288843548536262,0.0086794,1,0.2,none
50,52,Proposed IT2-W-FBRI,Proposed,1,45,0.856743164012576,7.73351640619946e-05,max strategy-step L1,0.0101278438611584,0.815738039764201,0.807465486783021,0.811188135624552,0.00827255298118001,2.35920898832863e-05,0.0080659,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,52,Isobe-APP,Convergence SOTA,1,42,0.778329613274818,9.74192680755259e-05,outer-anchor L1,7.19640325108628e-08,0.84200178120378,0.380395781146358,0.588118481172198,0.461606000057423,0.999952566826486,0.0038459,1,0,none
50,52,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.795037038490836,0.623950269007826,0.70093931527518,0.17108676948301,0.389135510165119,0.2376252,1,0.2,none
50,52,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.776907147808206,0.656937229009759,0.71092369246906,0.119969918798447,0.273686363205582,0.2114955,1,0.2,none
50,52,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740653898883964,0.730883017361253,0.735279914046473,0.00977088152271144,1.14996634136185e-05,0.0966374,1,0.2,none
