Mode,SeedGroup,Method,Seed,Rounds,ExpectedPayoff,WorstCaseQ5,CE_055,SCShare,EpsNE,RuntimeSec
dispersed,main,Proposed-Base,42,21,0.738574543254813,0.581346322244341,0.652099021699053,0.100750841680233,0.0295115268757566,0.0110647
dispersed,main,Proposed-Anneal,42,78,0.749219453382622,0.507023644536887,0.616011758517467,9.53536826373281e-05,0.00315266793322033,0.0142056
dispersed,main,Proposed-Coherent,42,28,0.712272204984314,0.726095735760593,0.719875146911268,1.14996634136185e-05,4.66754617733933e-07,0.7607909
dispersed,main,Isobe-APP,42,42,0.848863231202341,0.381718123744354,0.591933422100448,0.999952604051967,NaN,0.0066806
dispersed,main,RQE,42,23,0.784457749778017,0.624328680828589,0.696386761855832,0.389135516637,NaN,1.6327762
dispersed,main,MF-RQE,42,21,0.762921496772896,0.649234850063738,0.700393841082859,0.273686364048246,NaN,1.7235383
dispersed,main,CVaR-game,42,28,0.712272204984314,0.726095735760593,0.719875146911268,1.14996634136185e-05,NaN,0.7163274
dispersed,main,DRNE-VI,42,300,0.783029970665781,0.644858971916928,0.707035921353912,0.288843548536262,NaN,0.0062847
dispersed,main,Proposed-Base,43,21,0.737303185029951,0.581905123605933,0.651834251246741,0.100751087961739,0.0295115464534317,0.0038126
dispersed,main,Proposed-Anneal,43,78,0.747673939426123,0.504939067833851,0.614169760050374,9.53536826377158e-05,0.00315266793322044,0.0131484
dispersed,main,Proposed-Coherent,43,28,0.717177680114846,0.727507717763233,0.722859200821458,1.14996634136185e-05,4.66754617733933e-07,0.7626432
dispersed,main,Isobe-APP,43,42,0.849956648053376,0.382555727699398,0.592886141858688,0.999952680845484,NaN,0.0040821
dispersed,main,RQE,43,23,0.783627903879629,0.624650275940146,0.696190208512913,0.389135516637,NaN,1.632946
dispersed,main,CVaR-game,43,28,0.717177680114846,0.727507717763233,0.722859200821458,1.14996634136185e-05,NaN,0.7379301
dispersed,main,DRNE-VI,43,300,0.782821156034885,0.645683015570869,0.707395178779676,0.288843548536262,NaN,0.0060229
dispersed,main,Proposed-Base,44,21,0.737869724781717,0.581381512892298,0.651801208242537,0.100751304989481,0.0295115727858403,0.0039547
dispersed,main,Proposed-Anneal,44,78,0.7483677511235,0.506115055966604,0.615128768787207,9.53536826380895e-05,0.00315266793322044,0.0131593
dispersed,main,Proposed-Coherent,44,28,0.714543140305496,0.726913913270465,0.721347065436229,1.14996634136185e-05,4.66754617733933e-07,0.7524262
dispersed,main,Isobe-APP,44,42,0.847211027652084,0.381258118097528,0.590936927397078,0.999952767294405,NaN,0.0039876
dispersed,main,RQE,44,23,0.783286828060788,0.624100938107743,0.695734588586613,0.389135516637,NaN,1.6245189
dispersed,main,MF-RQE,44,21,0.762037851408063,0.649273072055862,0.700017222764352,0.273686364048246,NaN,1.7049898
dispersed,main,CVaR-game,44,28,0.714543140305496,0.726913913270465,0.721347065436229,1.14996634136185e-05,NaN,0.7254301
dispersed,main,DRNE-VI,44,300,0.782204757107307,0.645179291617981,0.706840751088178,0.288843548536262,NaN,0.0060659
